T_K,rho_mol_m3,T_reduced,rho_reduced,p_ideal_Pa,predicted_regime,gate_probability_near_ideal,gate_probability_attraction_dominated,gate_probability_excluded_volume_dominated,delta_Z_prediction,Z_prediction,p_prediction_Pa,p_prediction_MPa,p_coolprop_Pa,pressure_error_percent
390.126582278481,14835.443037974685,1.282770168220696,1.3962893991153467,48121621.02368497,attraction_dominated,0.0,1.0,0.0,-0.2778457459378482,0.7221542540621517,34751233.33462078,34.75123333462078,34736733.53875359,0.04174196704768816
375.9493670886076,13215.18987341772,1.2361542503619296,1.2437936285634996,41308264.6224249,attraction_dominated,0.0,1.0,0.0,-0.38775392826135036,0.6122460717386496,25290822.745420277,25.29082274542028,25331915.83302522,0.1622186331101361
432.65822784810126,15443.037974683544,1.422617921796995,1.453475313072289,55553559.588518314,attraction_dominated,0.24657846715328466,0.7534215328467153,0.0,-0.049520505503076274,0.9504794944969237,52802519.235199615,52.80251923519962,52246162.297515735,1.0648761807914353
418.4810126582278,15949.367088607594,1.3760020039382286,1.5011302413697412,55494941.361439526,attraction_dominated,0.0,1.0,0.0,-0.08977575703267088,0.9102242429673291,50512840.98923261,50.51284098923261,50546300.21200613,0.06619519654887551
361.7721518987342,15949.367088607594,1.1895383325031632,1.5011302413697412,47974755.72020392,attraction_dominated,0.0,1.0,0.0,-0.3878695546686643,0.6121304453313356,29366808.583670467,29.366808583670466,29366404.141551323,0.0013772272464630667
432.65822784810126,15544.303797468354,1.422617921796995,1.4630062987317796,55917845.22516434,near_ideal,0.7204608207178901,0.27953917928210986,0.0,-0.024712083199159164,0.9752879168008408,54535998.78164237,54.53599878164237,52934782.11955655,3.024885714027059
432.65822784810126,19088.607594936708,1.422617921796995,1.7965907968139443,68667842.5077751,excluded_volume_dominated,0.0,0.0,1.0,0.269301023864218,1.269301023864218,87160162.8016658,87.16016280166579,87943602.09755412,0.8908428551962947
489.36708860759495,14329.113924050633,1.6090815932320606,1.3486344708178946,58302647.85991899,excluded_volume_dominated,0.0,0.0,1.0,0.06308298348671558,1.0630829834867155,61980552.832098044,61.98055283209804,62292929.68956821,0.5014643861299622
390.126582278481,13316.45569620253,1.282770168220696,1.2533246142229904,43194492.59122576,attraction_dominated,0.0,1.0,0.0,-0.32191190230141176,0.6780880976985882,29289671.312240038,29.28967131224004,29275093.599515736,0.049795614400847225
446.8354430379747,18886.07594936709,1.4692338396557616,1.7775288254949635,70165484.9203409,excluded_volume_dominated,0.0,0.0,1.0,0.313552493363793,1.313552493363793,92166047.6651934,92.16604766519339,92921488.52852248,0.8129883359511598
404.3037974683545,13012.658227848102,1.3293860860794626,1.224731657244519,43742946.03949388,attraction_dominated,0.0,1.0,0.0,-0.26988784616300776,0.7301121538369922,31937256.548070207,31.937256548070206,31888936.10428351,0.15152729971510373
404.3037974683545,17468.354430379746,1.3293860860794626,1.6440950262620975,58721075.422666885,near_ideal,0.916982412486569,0.08301758751343097,0.0,-0.014859978118965908,0.9851400218810341,57848481.52676391,57.84848152676391,55973229.63317611,3.3502656642780355
390.126582278481,12000.0,1.282770168220696,1.1294218006496148,38924314.61642777,attraction_dominated,0.0,1.0,0.0,-0.341852013057581,0.6581479869424189,25617959.30791531,25.61795930791531,25623595.85155714,0.02199747324490161
475.1898734177215,16354.430379746836,1.5624656753732942,1.539254184007703,64615511.180520855,excluded_volume_dominated,0.0,0.0,1.0,0.16717827407898345,1.1671782740789833,75417820.81841159,75.41782081841158,75548189.60731734,0.1725637498176761
461.0126582278481,12101.26582278481,1.5158497575145278,1.1389527863091051,46385029.40182707,attraction_dominated,0.0,1.0,0.0,-0.10806322664395825,0.8919367733560417,41372513.45669076,41.37251345669076,41327247.16725768,0.10953134441758822
361.7721518987342,20000.0,1.1895383325031632,1.882369667749358,60158820.66501762,attraction_dominated,0.0,1.0,0.0,-0.05857244206511127,0.9414275579348887,56635171.626910456,56.635171626910456,56576312.771148,0.10403444989520048
489.36708860759495,13417.721518987342,1.6090815932320606,1.2628555998824809,54594352.23631991,near_ideal,0.9931190940452979,0.006880905954702272,0.0,0.014460856709955944,1.014460856709956,55383833.341182195,55.383833341182196,55636384.06404539,0.4539308711588365
446.8354430379747,17569.620253164558,1.4692338396557616,1.653626011921588,65274593.21007585,excluded_volume_dominated,0.0,0.0,1.0,0.16931002481153481,1.169310024811535,76326236.20603664,76.32623620603664,76431396.0424974,0.13758722449905703
475.1898734177215,18278.481012658227,1.5624656753732942,1.7203429115380209,72217336.025288,excluded_volume_dominated,0.0,0.0,1.0,0.370261816429731,1.370261816429731,98956658.03972739,98.95665803972739,98952569.8295132,0.004131484630693644
361.7721518987342,12708.860759493671,1.1895383325031632,1.1961387002660477,38227503.76435297,attraction_dominated,0.0,1.0,0.0,-0.4613287413170234,0.5386712586829766,20592057.56905224,20.59205756905224,20729696.77216905,0.663971135851816
