model,dataset,delta_Z_RMSE,delta_Z_MAE,pressure_MAPE_percent,pressure_max_error_percent
global_symbolic,natural_validation,0.022881979303847246,0.013066632906926716,1.970674099283793,45.20501134448676
oracle_regime_specific,natural_validation,0.009054858372568718,0.006136240846066242,0.8062099727768441,7.042208106710953
global_symbolic,stress_validation,0.01968786453550256,0.01629580119023561,1.664034008873354,4.227123664323114
oracle_regime_specific,stress_validation,0.007946427693565673,0.005772119318249495,0.5847967506108699,3.1827439582081207
improved_oracle_regime_specific,natural_validation,0.004034839804617313,0.002467830732056949,0.32389980673642044,6.046217653605071
improved_oracle_regime_specific,stress_validation,0.007120553991585907,0.00413632471841767,0.3667882972140826,3.1827439582081207
