model,dataset,delta_Z_RMSE,delta_Z_MAE,pressure_MAPE_percent,pressure_max_error_percent
hard_gate,natural_validation,0.004671980098369054,0.002580657730166203,0.3351428845282434,6.046217653605071
soft_gate,natural_validation,0.004338795076858785,0.0025536340865987446,0.33277693001375536,6.046217653605071
hard_gate,stress_validation,0.00965547542869814,0.005108682937472104,0.46578992791074936,7.015229499060414
soft_gate,stress_validation,0.008183432305586205,0.004810628502746842,0.44053943254259437,4.041684064902286
